id,upc,pop_name,character,franchise,number,variant,pop_style,raw_title,clean_title,needs_review
0505fa29-14e9-495b-91b0-b1e1ac36dd30,889698627818,Hall Of Armor: Iron Man Model 4 Vinyl,Hall Of Armor: Iron Man Model 4 Vinyl,Marvel,1036,null,Deluxe,Funko Marvel Hall Of Armor: Iron Man Model 4 Exclusive Pop! Vinyl Deluxe #1036,Marvel Hall Of Armor: Iron Man Model 4 Exclusive Vinyl Deluxe #1036,true
256e850a-8206-4f0a-9a26-2cf5a32b2b16,889698663366,Homerzilla Vinyl,Homerzilla Vinyl,The Simpsons,15,null,Standard,Funko The Simpsons Homerzilla POP! Vinyl,The Simpsons Homerzilla Vinyl,true
3917fac2-15f3-4bc4-ad62-d5c19188dc13,889698111492,Jesse,Jesse,null,null,null,Standard,Funko Pop! Television: Preacher - Jesse,Television: Preacher - Jesse,true
11428e6d-2954-432c-b13b-cc5009c75e12,889698786706,Lex Luthor As Superman US Vinyl,Lex Luthor As Superman US Vinyl,DC,null,null,Standard,Funko DC Comics - Lex Luthor As Superman US Exclusive Pop! Vinyl,DC Comics - Lex Luthor As Superman US Exclusive Vinyl,true
79fe9d17-d321-459d-b90d-4c529a95d9fc,849803053079,Morton Schmidt,Morton Schmidt,null,null,null,Standard,Funko POP! Movies: 21 Jump Street - Morton Schmidt Vinyl Figure,Movies: 21 Jump Street - Morton Schmidt,true
4c618ae9-aba5-465d-a3c8-265d2bcf13c9,889698111539,Preacher Cassidy (Other),Preacher Cassidy (Other),Preacher,null,null,Standard,Pop Preacher Cassidy Vinyl Figure (Other),Preacher Cassidy (Other),true
8fbd8215-6bd7-4b04-bc6a-f7650eb980a4,849803087395,Star Lord Vinyl Bobble Head (Mixed Tape),Star Lord Vinyl Bobble Head (Mixed Tape),Marvel,155,null,Standard,Funko POP! Marvel Star Lord Vinyl Bobble Head (Mixed Tape),Marvel Star Lord Vinyl Bobble Head (Mixed Tape),true
80c7c4c2-a0c9-45df-889e-a1459021b8e7,849803040130,Star-Lord 52 ~ Guardians Of The Galaxy ~ Vinyl,Star-Lord 52 ~ Guardians Of The Galaxy ~ Vinyl,Marvel,52,null,Standard,Funko Star-Lord 52 ~ Marvel: Guardians Of The Galaxy ~ Pop Vinyl,Star-Lord 52 ~ Marvel: Guardians Of The Galaxy ~ Vinyl,true
e713036b-6863-48e8-a873-32c423a74f00,889698579568,Superman Holiday DIY US Vinyl,Superman Holiday DIY US Vinyl,DC,353,null,Standard,Funko DC Comics - Superman Holiday DIY US Exclusive Pop! Vinyl,DC Comics - Superman Holiday DIY US Exclusive Vinyl,true
23140224-073b-4f92-bf1e-1a4f078e44c5,889698862271,Superman Retro (Flying) Vinyl 2025 NYCC,Superman Retro (Flying) Vinyl 2025 NYCC,Justice League,2025,null,Standard,Funko DC Comics - Superman Retro Comic (Flying) Pop! Vinyl 2025 NYCC Exclusive [RS],DC Comics - Superman Retro Comic (Flying) Vinyl 2025 NYCC Exclusive,true
bf903c65-f41d-4dcb-b864-608cf8cb248d,849803057398,Thanos Vinyl Bobble Head,Thanos Vinyl Bobble Head,Marvel,null,null,Standard,Funko POP! Marvel Thanos Vinyl Bobble Head [Super-Sized Glow In The Dark],Marvel Thanos Vinyl Bobble Head,true
bfa2f4f1-7c01-4d4b-8884-b49ba0f1f81a,889698702607,Theme Song,Theme Song,null,null,null,Moment,Funko Pop! Moments Deluxe: - Peacemaker - Theme Song,Moments Deluxe: - Peacemaker - Theme Song,true
d34f167d-e378-4396-a244-dbeb300e50b0,889698624268,Thor 4: Love And Thunder Miek Vinyl,Thor 4: Love And Thunder Miek Vinyl,Marvel,null,null,Standard,Funko Marvel Thor 4: Love And Thunder Miek POP! Vinyl,Marvel Thor 4: Love And Thunder Miek Vinyl,true
1295d6ca-9dcb-4c48-9226-8f02c6a1d53f,889698624220,Thor: Love And Thunder Vinyl Bobble-Head Mighty Thor,Thor: Love And Thunder Vinyl Bobble-Head Mighty Thor,Marvel,1041,null,Standard,Funko Pop! Marvel Thor: Love And Thunder Vinyl Bobble-Head Mighty Thor #1041,Marvel Thor: Love And Thunder Vinyl Bobble-Head Mighty Thor #1041,true
89fb4860-c638-48f6-b0d7-97a09b922050,889698650120,Thor: Love And Thunder Vinyl Mighty Thor 9cm Figurine,Thor: Love And Thunder Vinyl Mighty Thor 9cm Figurine,Marvel,null,null,Standard,Funko Thor: Love And Thunder POP! Marvel Vinyl Mighty Thor 9cm Figurine,Thor: Love And Thunder Marvel Vinyl Mighty Thor 9cm Figurine,true
fa2110b3-2243-49ed-abbf-e87761c267d7,849803056063,Ultron Grinning,Ultron Grinning,null,83,null,Standard,Funko 83 Ultron Grinning,83 Ultron Grinning,true
27b65449-c1f8-42ec-9659-d2ba4f487eb0,889698642088,Vinyl,Vinyl,Marvel,1188,null,Standard,Funko TOYS Thor Love And Thunder - Gorr’s Daughter - Pop Vinyl,TOYS Thor Love And Thunder - Gorr’s Daughter - Vinyl,true
7e699a1e-0753-40f8-aefe-1d651106192e,889698292016,Violet,Violet,null,null,null,Standard,Funko Pop! Disney - Incredibles 2 - Violet Vinyl Figure,Disney - Incredibles 2 - Violet,true
f209afb5-626e-42c6-ab2a-afdbb4745392,889698252034,Walking Dead Richard (Other),Walking Dead Richard (Other),null,null,null,Standard,Pop Walking Dead Richard Vinyl Figure (Other),Walking Dead Richard (Other),true
1b5dc708-e4c6-4f92-a2d9-cfc0d960d1fc,849803068776,Woody,Woody,null,null,null,Standard,Funko POP! Disney Toy Story - Woody Figure,Disney Toy Story - Woody,true
f386ecda-128e-44ff-bb83-d34ead348575,889698907927,X-Men '97 Vinyl Figur Cable (X-Corp) 9cm (1594),X-Men '97 Vinyl Figur Cable (X-Corp) 9cm (1594),Marvel,97,null,Standard,Funko Marvel X-Men '97 POP! Vinyl Figur Cable (X-Corp) 9cm (1594),Marvel X-Men '97 Vinyl Figur Cable (X-Corp) 9cm (1594),true
